TotRmsAbvGrd,OverallQual,OverallCond,KitchenAbvGr,GarageCars,BedroomAbvGr,MoSold,HalfBath,Fireplaces,LotArea,EnclosedPorch,PoolArea,SalePrice
7,7,4,1,2,3,7,0,1,15593,114,0,225000
8,7,6,1,2,3,2,0,2,13651,0,0,244000
4,4,6,1,2,2,6,0,0,7599,0,0,129500
7,7,5,1,2,3,12,1,1,10141,0,0,185000
6,5,7,1,2,3,5,0,0,10200,0,0,144900
8,3,6,2,1,3,5,0,0,5790,202,0,107400
5,4,5,1,1,2,11,0,0,1596,0,0,91000
4,4,7,1,1,2,4,0,0,8475,0,0,135750
6,5,5,1,1,2,1,0,0,8635,0,0,127000
8,4,5,2,0,4,4,0,0,10778,0,0,136500
5,5,6,1,2,2,5,1,0,10440,128,0,110000
8,6,6,1,1,4,6,1,1,13000,0,0,193500
5,6,5,1,2,2,3,0,0,4500,0,0,153500
6,8,5,1,3,3,10,0,1,10206,0,0,245000
6,5,5,1,2,3,7,1,0,8892,0,0,126500
7,7,5,1,2,3,5,1,1,8530,0,0,168500
9,8,5,1,2,4,4,1,1,16059,0,0,260000
6,6,5,1,2,3,3,1,1,11911,0,0,174000
4,6,5,1,2,2,6,1,0,3951,0,0,164500
6,3,2,1,0,2,10,0,0,8470,156,0,85000
5,4,5,1,0,3,8,0,0,8070,0,0,123600
4,4,5,1,2,2,7,0,0,7200,0,0,109900
6,5,3,1,2,2,12,0,0,8500,0,0,98600
5,5,7,1,2,2,8,0,0,13360,44,0,163500
9,6,6,2,2,4,11,0,1,7200,0,0,133900
7,6,5,1,2,3,5,1,0,9337,0,0,204750
6,6,8,1,2,3,4,1,1,9765,0,0,185000
6,7,5,1,2,3,8,0,0,10264,0,0,214000
6,4,5,1,1,3,5,0,0,10921,0,0,94750
5,5,5,1,1,2,5,0,0,10625,77,0,83000
6,4,5,1,0,3,1,1,0,9320,0,0,128950
6,6,7,1,2,3,2,0,2,10603,0,0,205000
7,6,5,1,2,3,6,1,1,9206,0,0,178000
8,5,5,2,2,4,6,0,0,7018,0,0,118964
6,7,5,1,3,3,5,0,0,10402,0,0,198900
7,7,4,1,1,4,6,1,2,7758,0,0,169500
9,8,5,1,2,3,8,1,1,9375,0,0,250000
6,4,7,1,1,2,8,0,0,10800,0,0,100000
5,5,5,1,1,2,4,0,0,6000,0,0,115000
7,5,7,1,0,3,8,0,0,8500,144,0,115000
7,6,6,1,2,3,1,0,1,11751,0,0,190000
7,6,4,1,1,4,10,0,0,9525,0,0,136900
7,7,5,1,2,3,4,1,1,7750,0,0,180000
10,7,5,1,3,4,10,1,1,9965,0,0,383970
7,6,5,1,2,3,10,0,2,21000,192,0,217000
9,6,8,1,1,3,7,1,1,7259,0,0,259500
5,6,5,1,2,2,6,1,1,3230,0,0,176000
6,5,5,1,1,3,9,0,1,11616,144,0,139000
5,5,5,1,2,2,4,1,0,8536,0,0,155000
11,7,5,1,3,5,5,0,2,12376,0,0,320000
8,6,5,1,2,3,7,1,1,8461,0,0,163990
4,6,5,1,2,1,10,0,2,21453,0,0,180000
4,4,5,1,1,3,6,0,0,6060,140,0,100000
5,6,7,1,1,3,6,0,0,9464,0,0,136000
5,6,5,1,2,2,3,0,0,7892,0,0,153900
7,6,5,1,2,3,1,0,1,17043,0,0,181000
5,6,8,1,0,2,6,0,0,6780,0,0,84500
5,6,5,1,2,2,2,0,1,4928,0,0,128000
5,5,7,1,0,3,6,0,1,4388,0,0,87000
6,6,5,1,2,3,7,1,1,7590,0,0,155000
6,5,7,1,2,3,7,1,0,8973,0,0,150000
8,7,6,1,2,4,5,1,2,14200,0,0,226000
7,6,5,1,2,3,7,1,1,12224,0,0,244000
7,5,6,1,2,3,7,0,0,7388,0,0,150750
6,8,5,1,2,2,6,0,0,6853,0,0,220000
7,5,6,1,2,3,7,1,1,10335,180,0,180000
7,7,6,1,2,3,5,0,1,10400,0,0,174000
5,5,5,1,1,3,7,0,1,10355,0,0,143000
9,7,5,2,3,5,7,0,0,11070,0,0,171000
7,8,5,1,3,3,12,1,2,9066,0,0,230000
7,6,5,1,2,3,8,1,0,15426,0,0,231500
5,4,5,1,0,3,4,0,1,10500,0,0,115000
7,7,5,1,2,3,1,0,0,11645,0,0,260000
6,5,4,1,2,4,6,0,0,8520,0,0,166000
6,7,5,1,2,3,6,0,0,10335,0,0,204000
10,5,5,2,2,6,11,0,0,9100,0,0,125000
7,6,5,1,2,3,4,0,0,2522,0,0,130000
5,5,7,1,1,2,11,0,0,6120,0,0,105000
8,7,5,1,2,3,5,1,1,9505,0,0,222500
6,7,5,1,0,3,4,0,0,7500,0,0,141000
7,5,4,1,1,3,4,0,0,6240,0,0,115000
5,5,6,1,2,3,1,1,0,10356,0,0,122000
6,8,5,1,3,2,1,0,1,13891,0,0,372402
8,6,5,1,2,4,6,1,1,14803,0,0,190000
4,6,7,1,2,1,3,0,1,13500,0,0,235000
7,6,5,1,1,4,3,0,0,11340,228,0,125000
5,6,5,1,0,2,4,0,0,9600,128,0,79000
5,5,7,1,2,2,6,0,0,7200,0,0,109500
8,8,5,1,3,4,5,1,1,12003,0,0,269500
8,7,5,1,2,3,5,1,1,12552,0,0,254900
9,7,5,1,2,4,3,1,1,19378,0,0,320000
6,6,6,1,2,3,6,0,0,11120,0,0,162500
10,9,5,1,3,3,3,1,2,13688,0,0,412500
7,7,5,1,2,3,5,0,1,12182,0,0,220000
4,4,6,1,0,1,4,0,0,5500,0,0,103200
5,6,7,1,1,3,10,0,0,5400,183,0,152000
6,5,7,2,0,4,9,0,0,10106,0,0,127500
7,5,5,1,1,2,11,0,3,10708,0,0,190000
8,8,5,1,3,3,11,1,1,10562,0,0,325624
7,7,5,1,2,3,5,1,1,8244,0,0,183500
6,8,6,1,2,2,1,1,1,16669,0,0,228000
7,5,6,1,2,2,5,1,0,12358,0,0,128500
7,6,5,1,2,3,5,0,2,31770,0,0,215000
5,7,7,1,2,2,6,0,1,5306,0,0,239000
6,6,5,1,2,3,6,1,1,10197,0,0,163000
7,6,5,1,2,3,11,0,1,12416,0,0,184000
7,6,7,1,2,4,6,0,1,12615,39,0,243000
8,6,5,1,2,4,9,1,1,10029,0,0,211000
8,5,5,1,2,4,7,0,1,13650,0,0,172500
9,9,5,1,3,1,7,0,1,17423,0,0,501837
5,5,6,1,2,2,7,0,0,8520,184,0,100000
5,6,5,1,2,3,6,1,1,2117,0,0,177000
9,7,6,1,1,4,7,1,1,7588,40,0,200100
7,5,6,1,1,3,6,0,1,9060,0,0,120000
6,7,5,1,2,3,6,1,0,11426,0,0,200000
5,5,8,1,2,3,6,0,0,7438,0,0,127000
12,10,9,1,3,4,6,1,2,22950,0,0,475000
6,7,5,1,2,3,6,0,0,9947,0,0,173000
8,5,7,1,1,3,8,1,0,10410,0,0,135000
6,5,5,2,2,2,6,2,2,7018,0,0,153337
5,8,5,1,2,0,8,1,1,4923,0,0,286000
10,8,8,1,2,3,12,1,2,10570,0,0,315000
7,7,9,1,2,4,6,1,0,7472,0,0,184000
6,7,5,1,2,3,9,0,0,9017,0,0,192000
7,7,5,1,2,3,5,0,0,2522,0,0,130000
5,5,7,1,1,3,5,0,0,7180,0,0,127000
7,6,6,1,2,3,7,1,1,2280,0,0,148500
8,7,5,1,3,3,9,0,1,9416,0,0,311872
8,8,4,1,2,4,3,0,1,25419,552,512,235000
8,6,6,1,0,5,7,0,0,5520,30,0,104000
7,8,5,1,3,3,1,0,1,9591,0,0,274900
5,4,5,1,2,2,3,0,0,8546,0,0,140000
6,6,6,1,2,3,2,0,2,10125,0,0,171500
6,6,6,1,1,2,5,0,0,7000,126,0,112000
3,6,5,1,2,1,1,0,1,4438,0,0,149000
5,5,7,1,1,2,4,1,0,3500,0,0,110000
5,7,5,1,2,3,5,0,0,11851,0,0,180500
8,5,5,1,1,3,3,1,1,13673,0,0,143900
6,4,5,1,1,3,4,0,1,12493,0,0,141000
7,7,5,1,2,3,4,1,1,14364,0,0,277000
6,6,7,1,2,3,7,0,0,8250,0,0,145000
5,5,6,1,0,2,4,0,0,5604,96,0,98000
6,6,5,1,2,3,3,0,0,10420,0,0,186000
7,7,5,1,2,3,7,1,1,8640,0,0,252678
5,5,5,1,2,3,7,0,0,13568,0,0,156000
6,6,7,1,1,3,3,1,0,10900,0,0,161750
6,5,6,1,1,2,5,0,1,10011,0,0,134450
8,7,5,1,2,3,4,0,0,8450,0,0,210000
8,4,4,1,1,3,9,0,0,9906,60,0,107000
8,7,9,1,2,3,5,1,2,15660,150,0,311500
5,7,5,1,2,2,3,0,0,3010,0,0,167240
5,7,5,1,2,2,4,0,0,8990,0,0,204900
8,6,5,1,2,4,12,1,1,8068,0,0,200000
6,6,6,1,2,3,2,1,1,11475,0,0,179900
4,4,6,1,2,2,3,0,0,10500,0,0,97000
8,10,5,1,3,3,6,0,1,13472,0,0,386250
6,5,5,1,1,3,5,1,0,1680,0,0,112000
9,7,5,1,3,4,6,1,1,9950,0,0,290000
5,6,6,1,1,2,9,1,0,1869,0,0,106000
5,5,5,1,1,3,5,0,1,8521,0,0,125000
7,7,5,1,2,2,5,0,1,3182,0,0,192500
6,6,6,1,1,3,4,0,0,8760,120,0,148000
9,8,5,1,3,4,7,1,1,15138,202,0,403000
5,6,5,1,1,2,6,1,1,1680,0,0,94500
5,5,6,1,1,3,2,0,0,10650,0,0,128200
8,6,5,1,2,4,5,1,2,7851,0,0,216500
5,6,3,1,1,2,8,1,0,1680,0,0,89500
6,7,5,1,2,3,5,0,0,8773,0,0,185500
7,7,7,1,2,3,2,1,0,9453,0,0,194500
7,8,5,1,3,3,12,0,0,12030,0,0,318000
7,6,4,1,1,3,4,1,1,8741,0,0,113000
7,8,5,1,2,3,4,0,0,9000,0,0,262500
4,5,9,1,0,2,8,0,0,3880,0,0,110500
6,5,4,1,1,3,4,0,0,5000,77,0,79000
6,6,6,1,1,3,4,1,1,10762,0,0,120000
8,7,5,1,2,3,5,1,2,8880,0,0,205000
6,7,5,1,2,3,6,0,1,10400,0,0,241500
9,6,8,2,1,4,4,0,0,9142,112,0,137000
5,6,5,1,2,2,6,0,1,11310,0,0,140000
8,7,5,1,2,3,9,1,0,11317,0,0,180000
7,6,7,1,2,4,6,0,2,159000,0,0,277000
6,3,2,1,0,3,5,0,0,5350,0,0,76500
5,8,5,1,2,2,12,0,1,4750,0,0,235000
6,6,5,1,2,3,12,1,0,8366,0,0,173000
7,6,7,1,1,3,10,0,0,9350,0,0,158000
5,5,6,1,1,3,6,0,0,8400,0,0,145000
8,7,5,1,2,4,2,1,1,8738,0,0,230000
7,6,5,1,2,3,5,1,0,8791,0,0,207500
8,7,5,1,2,3,3,1,1,8814,0,0,220000
7,7,5,1,2,3,5,1,1,12435,0,0,231500
4,5,5,1,1,2,12,0,0,12702,0,0,97000
6,6,5,1,2,3,5,0,1,19296,252,0,176000
10,8,5,1,3,3,11,1,1,9588,0,0,276000
6,6,7,1,2,3,7,0,1,8471,0,0,151000
6,5,7,1,2,3,4,0,0,5500,0,0,130000
4,5,5,1,2,2,6,0,0,5232,0,0,73000
7,6,6,1,2,3,6,0,1,12090,0,0,175500
8,6,5,1,2,3,6,1,1,11207,0,0,185000
8,5,8,1,1,4,7,1,1,8400,0,0,179500
4,5,6,1,1,2,2,0,1,6900,0,0,120500
6,6,7,1,1,3,5,1,1,7917,0,0,148000
8,8,5,1,3,3,8,1,1,10728,0,0,266000
5,7,7,1,2,2,4,0,2,39104,0,0,241500
9,8,7,1,3,4,4,1,1,11764,0,0,290000
6,6,6,1,1,3,4,0,1,9600,0,0,139000
5,5,7,1,1,2,6,0,0,8314,0,0,124500
5,7,7,1,2,3,10,1,0,7264,0,0,205000
7,7,5,1,2,3,4,0,0,9196,0,0,201000
4,4,5,1,2,2,6,0,0,19138,0,0,141000
8,9,5,1,3,3,5,1,1,14450,0,0,415298
8,7,5,1,2,4,3,1,1,10005,0,0,192000
7,7,6,1,2,3,1,1,1,11287,0,0,228500
5,6,5,1,2,2,5,0,0,7200,0,0,185000
6,7,5,1,2,2,4,0,1,5063,0,0,207500
6,8,5,1,3,3,12,0,1,9612,0,0,244600
5,6,5,1,2,2,7,0,0,8012,52,0,179200
5,7,5,1,2,2,6,1,0,4251,0,0,164700
7,6,7,1,2,3,6,1,1,9786,0,0,159000
5,4,4,1,0,3,6,0,0,8125,0,0,88000
5,5,5,1,1,3,2,0,0,9819,0,0,122000
7,6,7,1,1,3,7,0,0,8730,0,0,153575
8,8,5,1,2,3,7,1,1,15611,0,0,233230
9,5,6,1,0,6,3,0,0,5687,0,0,135900
8,5,4,1,1,3,1,1,1,11409,0,0,131000
9,7,7,1,2,3,3,1,1,16659,0,0,235000
7,6,5,1,2,3,10,0,2,9600,0,0,167000
6,6,6,1,2,3,3,0,0,7937,0,0,142500
6,5,5,1,1,4,6,1,0,13710,0,0,152000
7,7,5,1,2,3,6,1,1,7399,0,0,239000
7,6,6,1,2,3,6,2,1,11700,0,0,175000
6,6,8,1,1,3,8,0,1,14000,0,0,158500
5,5,5,1,1,2,6,0,2,15750,0,0,157000
9,8,5,1,2,4,5,1,1,16226,0,0,267000
6,7,5,1,3,3,1,0,1,13704,0,0,205000
5,5,7,1,2,3,7,0,0,9800,0,0,149900
10,7,9,1,3,3,5,0,1,18386,0,0,295000
8,8,5,1,3,3,7,0,0,10386,0,0,305900
8,7,5,1,3,4,6,1,1,13474,224,0,225000
6,6,7,1,0,3,3,0,0,7920,0,0,89500
4,4,5,1,2,1,3,0,0,12342,0,0,82500
8,9,5,1,3,3,11,0,3,12378,0,0,360000
6,6,5,1,2,3,5,1,1,7685,0,0,165600
5,6,6,1,1,2,5,0,1,8000,0,0,132000
5,5,7,1,2,3,5,0,1,7800,0,0,119900
8,7,5,1,2,3,6,0,2,215245,0,0,375000
6,7,7,1,2,3,8,1,1,9600,234,0,178000
6,7,5,1,2,3,7,1,1,7795,0,0,188500
10,7,7,1,2,4,8,1,1,13005,0,0,260000
8,8,5,1,3,3,12,1,1,9000,0,0,270000
9,7,5,1,3,4,4,1,1,9900,144,0,260000
6,7,5,1,2,3,6,0,2,14115,0,0,187500
9,9,5,1,3,4,9,1,0,16259,0,0,342643
10,8,5,1,3,4,6,1,1,12099,0,0,354000
8,7,5,1,2,4,8,1,1,10380,0,0,301000
6,3,8,1,1,3,7,0,0,5820,0,0,126175
11,7,7,1,2,5,6,1,1,11275,0,0,242000
5,5,6,1,2,2,12,0,0,5000,244,0,87000
6,8,5,1,2,1,5,1,2,10846,0,0,324000
7,6,5,1,1,3,4,1,0,11600,0,0,145250
10,6,6,1,2,5,7,0,0,11888,268,0,214500
6,5,5,1,1,3,7,0,0,6402,137,0,78000
10,5,4,2,1,6,11,0,0,10624,0,0,119000
6,5,6,1,1,3,8,0,0,8176,0,0,139000
7,8,5,1,3,3,10,0,1,10655,0,0,284000
6,7,5,1,2,2,7,0,1,8198,0,0,207000
7,6,5,1,2,3,7,1,2,9042,0,0,192000
7,5,6,1,2,3,8,0,2,164660,0,0,228950
8,9,5,1,3,3,7,0,1,14157,0,0,377426
7,7,5,1,2,3,12,0,0,9135,0,0,214000
8,7,7,1,2,3,5,0,0,14145,0,0,202500
6,6,7,1,1,3,6,0,0,12400,0,0,155000
9,8,5,1,2,4,4,1,0,14191,0,0,202900
4,4,4,1,1,2,9,0,0,8400,24,0,82000
6,3,4,2,2,2,5,0,0,8544,0,0,87500
6,9,5,1,2,2,7,0,1,8849,0,0,266000
4,5,3,1,1,3,4,1,0,2592,0,0,85000
6,6,5,1,1,3,10,0,1,6435,0,0,140200
5,6,8,1,1,2,4,0,0,12772,0,0,151500
6,6,5,1,2,3,12,0,2,17600,0,0,157500
6,7,5,1,2,2,10,1,0,2448,0,0,154000
10,9,5,1,3,4,4,1,2,20431,0,0,437154
6,9,5,1,2,2,12,0,1,7820,0,0,318061
6,7,5,1,2,2,12,1,1,5271,0,0,190000
5,5,6,1,1,3,3,0,0,9084,0,0,95000
5,6,8,1,2,2,5,0,0,8520,0,0,105900
6,6,5,1,1,2,6,0,2,8400,108,0,140000
6,6,5,1,2,3,8,0,0,11249,0,0,177500
6,6,6,1,2,3,7,0,0,9248,0,0,173000
6,5,5,1,2,3,8,1,1,4224,0,0,134000
6,5,4,1,1,3,7,0,0,6930,294,0,130000
7,8,5,1,2,3,6,1,1,12011,0,0,280000
5,6,6,1,2,2,6,0,1,7540,0,0,156000
8,5,5,1,1,3,7,0,0,9144,0,0,145000
7,7,5,1,2,4,7,0,1,7301,177,0,198500
5,6,8,1,1,2,5,1,0,1680,0,0,118000
6,6,5,1,2,3,7,1,1,18800,0,0,190000
6,5,7,1,1,3,7,0,0,10690,218,0,147000
6,6,5,1,2,3,7,1,2,9500,0,0,159000
6,6,5,1,1,3,12,0,1,9150,0,0,165000
7,5,6,1,1,2,3,0,1,7800,0,0,132000
7,5,7,1,2,3,3,0,1,9830,0,0,162000
7,6,5,1,2,3,1,1,1,8121,0,0,172400
7,4,4,1,2,4,7,0,1,17120,0,0,134432
4,6,5,1,1,2,2,0,0,7175,0,0,125000
5,5,6,1,1,3,11,0,0,10634,0,0,123000
8,7,5,1,2,4,7,1,1,8200,0,0,219500
4,1,1,1,0,1,3,1,0,10020,0,0,61000
5,5,5,1,2,2,7,0,0,8846,0,0,148000
8,8,5,1,2,4,12,0,1,11143,0,0,340000
8,9,2,1,3,1,6,1,1,11394,0,0,394432
7,6,5,1,2,3,6,1,1,8123,0,0,179000
6,5,6,1,1,3,5,0,1,5000,242,0,127000
5,7,5,1,2,2,8,0,1,7200,0,0,187750
8,7,5,1,2,3,4,1,0,9245,0,0,213500
5,6,3,1,2,2,10,0,0,9000,91,0,76000
9,6,5,1,2,3,6,1,2,53107,0,0,240000
6,8,5,1,2,2,4,0,1,3182,0,0,192000
8,5,3,1,0,5,5,0,0,8410,0,0,81000
6,6,6,1,1,3,10,0,1,7200,0,0,125000
6,7,5,1,2,3,7,0,0,9382,0,0,191000
9,10,5,1,3,3,8,1,1,12474,0,0,426000
7,5,8,1,1,4,4,0,0,8405,112,0,119000
7,6,5,1,2,3,6,1,1,12209,0,0,215000
5,5,7,1,1,3,7,0,0,8339,0,0,106500
4,4,5,1,0,2,4,0,2,7446,0,0,100000
5,5,6,1,1,2,7,0,0,10134,0,0,109000
6,5,6,1,1,3,6,0,0,9571,0,0,129000
6,5,5,1,2,2,9,0,0,7200,0,0,123000
8,5,5,1,1,4,7,0,1,7590,0,0,169500
6,5,2,1,1,2,11,0,0,8967,0,0,67000
7,7,5,1,2,2,10,0,0,8125,0,0,241000
4,8,5,1,2,1,12,1,2,14963,0,0,245500
6,7,5,1,2,3,7,0,1,8767,0,0,164990
4,5,8,1,1,2,8,0,0,10200,0,0,108000
10,8,5,1,2,4,7,1,1,12090,0,0,258000
7,6,5,1,2,3,5,1,1,10364,0,0,168000
8,4,4,1,2,3,6,0,1,9991,0,0,150000
6,6,5,1,1,3,3,0,0,10480,0,0,115000
8,6,7,1,1,4,3,0,0,15576,160,0,177000
9,7,5,1,3,3,8,1,1,14154,0,0,280000
8,8,5,1,3,3,4,1,1,10800,0,0,339750
5,5,3,1,1,3,6,0,0,9571,0,0,60000
5,5,5,1,2,3,1,0,0,34650,0,0,145000
7,7,5,1,2,2,6,1,1,4403,0,0,222000
5,5,6,1,2,2,3,0,1,8960,130,0,115000
9,7,5,1,3,3,12,1,1,11228,0,0,228000
6,7,5,1,2,3,8,0,0,8899,0,0,181134
6,6,7,1,2,3,3,1,1,7844,0,0,149500
10,6,6,1,3,4,11,1,1,22420,0,0,239000
7,5,6,1,1,3,4,1,0,8160,0,0,126000
6,5,6,1,1,3,7,0,1,8450,184,0,142000
8,7,5,2,4,2,11,0,0,7060,0,0,206300
8,6,7,1,2,3,6,0,1,16635,0,0,215000
4,5,5,1,2,2,2,0,0,21750,0,0,113000
8,8,5,1,3,4,6,1,1,9200,0,0,315000
6,6,5,1,1,2,5,0,1,9000,0,0,139000
6,7,8,1,1,3,9,1,2,3378,126,0,135000
5,7,5,1,2,2,8,0,1,12800,0,0,275000
5,4,6,1,1,3,7,0,0,8593,0,0,109008
6,7,5,1,2,2,9,0,0,6762,0,0,195400
6,6,5,1,2,3,3,0,1,11457,169,0,175000
4,6,5,1,1,2,7,1,0,1680,0,0,85400
7,6,7,1,0,4,9,0,0,5586,0,0,79900
6,5,5,1,2,2,8,1,0,1920,0,0,122500
7,6,5,1,2,3,7,1,1,10839,0,0,181000
3,4,7,1,0,1,6,0,0,1890,0,0,81000
6,7,6,1,2,3,4,1,1,10667,0,0,212000
6,6,8,1,2,2,10,0,0,4400,0,0,116000
4,6,7,1,1,2,1,0,0,6000,105,0,119000
4,5,6,1,1,2,3,0,1,4280,34,0,90350
7,6,8,1,2,3,8,0,0,12354,0,0,110000
10,10,5,1,3,2,4,0,2,15431,0,0,555000
8,4,4,2,0,4,9,0,0,12108,0,0,118000
8,5,7,1,2,3,6,0,1,6240,0,0,162900
6,7,5,1,3,2,6,0,1,3922,0,0,172500
8,7,5,1,2,4,7,1,1,8750,0,0,210000
7,6,5,1,2,3,11,0,1,9855,0,0,127500
6,6,6,1,2,2,6,1,1,16492,0,0,190000
10,7,5,1,2,4,7,1,1,11214,0,0,199900
7,6,6,1,1,3,6,0,1,8600,0,0,119500
6,3,7,1,1,2,6,1,0,6000,0,0,120000
5,6,8,1,1,2,6,0,0,5684,0,0,110000
5,7,5,1,2,2,12,0,2,70761,0,0,280000
7,6,5,1,2,3,7,1,0,9303,0,0,204000
6,8,5,1,2,3,6,1,0,9000,0,0,210000
8,5,5,2,2,4,7,0,0,9297,0,0,188000
6,7,6,1,2,3,9,1,1,9600,0,0,175500
7,5,5,1,3,4,5,0,0,4571,96,0,98000
6,4,6,1,2,2,3,0,2,53227,0,0,256000
7,8,7,1,1,3,6,0,1,5100,0,0,161000
5,5,4,1,1,3,7,0,1,7015,248,0,110000
8,8,5,1,2,3,12,1,0,8004,0,0,263435
6,7,9,1,2,3,4,0,0,7200,0,0,155000
5,5,5,1,1,3,12,0,1,8281,236,0,62383
6,6,7,1,1,3,8,1,1,11988,0,0,188700
5,5,5,1,0,3,8,0,0,8430,0,0,124000
6,7,5,1,2,2,5,0,1,3072,0,0,178740
5,7,5,1,2,2,4,0,1,10628,0,0,167000
7,5,7,1,1,3,6,1,2,9480,0,0,146500
7,8,5,1,3,3,5,0,1,11428,0,0,250000
7,6,5,1,2,3,6,1,0,9291,0,0,187000
4,8,5,1,2,1,6,1,0,6820,0,0,212000
8,7,6,1,2,3,11,1,1,11952,0,0,190000
5,6,5,1,2,2,6,0,0,3675,0,0,148000
7,8,5,1,3,2,7,0,1,14977,0,0,440000
6,8,5,1,2,2,8,0,0,5330,0,0,251000
5,5,6,1,2,2,7,0,0,8480,0,0,132500
7,6,5,1,2,3,4,0,1,13125,0,0,208900
9,9,5,1,3,3,3,1,1,13693,0,0,380000
7,8,5,1,3,3,9,0,1,10637,0,0,297000
7,4,7,1,2,2,3,0,0,5925,0,0,89471
8,9,5,1,3,3,3,0,1,16033,0,0,326000
6,9,5,1,3,2,8,0,1,11846,0,0,374000
7,7,8,1,1,4,6,1,1,2500,0,0,155000
5,6,5,1,2,2,5,0,0,4500,0,0,164000
6,5,7,1,1,3,3,0,0,7758,0,0,132500
5,5,7,1,1,3,7,0,1,9600,120,0,147000
6,5,7,1,2,3,6,1,0,10289,0,0,156000
7,5,6,1,2,3,2,0,1,12243,0,0,175000
10,5,4,2,2,3,5,0,1,10800,0,0,160000
3,4,8,1,1,1,5,0,0,1526,0,0,86000
4,5,6,1,1,3,6,1,1,2665,0,0,115000
5,6,7,1,1,3,8,0,2,9490,32,0,133000
8,6,5,1,2,3,5,1,0,15578,0,0,172785
